,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
0,World’s Largest Jello Pool,https://i.ytimg.com/vi/5JUlNlGqnlw/default.jpg,0,[],2024-07-25T16:36:40Z,525691187,14111999,12651,1分,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
1,This Slinky Can Walk Forever!,https://i.ytimg.com/vi/KIlYZivq_H4/default.jpg,0,[],2024-11-28T17:03:44Z,462920951,13386987,11548,1分15秒,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
2,Jelly Bean Guessing Game HACK,https://i.ytimg.com/vi/iBh3zOjOCvI/default.jpg,0,[],2024-04-30T15:19:00Z,259649291,6324662,20926,49秒,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
3,I NEED 1 MORE SUBSCRIBER!,https://i.ytimg.com/vi/3dH91cyjKLw/default.jpg,0,[],2024-02-13T15:49:31Z,254346564,14091685,18911,38秒,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
4,I Cured @MrBeast’s Fear Of Heights,https://i.ytimg.com/vi/0ENZe0ckmxA/default.jpg,0,[],2023-06-29T20:47:19Z,240475870,10392308,11031,1分,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
5,I Gave 3 Subscribers My Credit Card,https://i.ytimg.com/vi/Vv8RN_mKyi4/default.jpg,0,[],2024-05-10T14:00:24Z,235382251,5970842,4468,56秒,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
6,8-Year-Olds vs Modified Bowling Ball,https://i.ytimg.com/vi/uXUKVWV7FOQ/default.jpg,68,[],2023-04-12T03:58:31Z,231700318,6503926,7812,48秒,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
7,Turtles or Snakes- Which Do Cars Swerve to Hit More?,https://i.ytimg.com/vi/DsZe6TCH3A4/default.jpg,0,[],2024-09-27T15:18:43Z,218159231,6339059,5043,53秒,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
8,$1 Arcade Punching Bag HACK,https://i.ytimg.com/vi/wpDRV8yvqME/default.jpg,0,[],2024-06-27T16:15:07Z,211129816,6518938,7227,1分,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
9,World's Largest Jello Pool- Can you swim in Jello?,https://i.ytimg.com/vi/DPZzrlFCD_I/default.jpg,987,"['Jello', 'jello pool', 'worlds largest jello pool', 'worlds largest jello cup', 'worlds largest bowl of cereal', 'Mr. Beast', 'Vat19', 'Guava', 'family friendly', 'can you swim in jello', 'orbeez pool', 'orbeez', 'jelli baff', 'baff', 'fun', 'funny', 'quick looking at my tags', 'jelly', 'jelly pool']",2019-05-16T20:57:03Z,193051529,2342731,64099,10分28秒,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
10,Turning An Egg Into A Bouncy Ball,https://i.ytimg.com/vi/qRJOojiBi-s/default.jpg,51,[],2025-01-30T16:22:44Z,177903696,4726452,3125,1分,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
11,Fart Spray Soccer Challenge with @fedevigevani,https://i.ytimg.com/vi/DtO46ikY2r0/default.jpg,84,[],2023-12-02T15:00:14Z,172554237,3472331,3675,53秒,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
12,Flipping Robot vs Heavier And Heavier Objects,https://i.ytimg.com/vi/X1rkdQGxI-I/default.jpg,0,[],2024-10-11T01:13:42Z,164415925,3466657,5663,34秒,28,Mark Rober,69500000,2011-10-20T06:17:58Z,218
