,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
0,A Day in the Life of a Minimalist,https://i.ytimg.com/vi/tG2GJZcBKOE/default.jpg,590,"['day in the life minimalist', 'day in the life', 'declutter', 'lifestyle', 'lifestyle design', 'minimalism', 'minimalist', 'simple living', 'simplicity', 'simple', 'design', 'apartment', 'apartment tour', 'clarity']",2018-10-15T20:35:28Z,17965591,502637,20066,7分34秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
1,I quit sugar for 30 days,https://i.ytimg.com/vi/Ufm0yPA-kWc/default.jpg,439,"['i quit sugar for 30 days', 'i quit sugar', 'sugar', 'no sugar', 'how to quit sugar', 'quitting sugar', '30 days without sugar', 'quit sugar', 'quit sugar for a month', 'i quit sugar for a month', 'no sugar for a month', 'sugar addiction', 'sugar free', '30 days of no sugar', 'sugar free diet', 'no sugar challenge', 'no sugar diet']",2019-02-12T14:00:02Z,11320333,280757,15146,11分3秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
2,I learned a system for remembering everything,https://i.ytimg.com/vi/Rvey9g0VgY0/default.jpg,1168,"[""Matt D'Avella"", 'matt davella', 'self-development', 'creativity', 'health', 'wellness', 'lifestyle design', 'lifestyle', 'advice']",2022-08-17T14:30:31Z,9695619,416554,4992,10分50秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
3,12 Habits That Changed My Life,https://i.ytimg.com/vi/kRr9LQ7mZ_A/default.jpg,319,"['habits that changed my life', 'habits that will change your life', 'change your life', 'daily habits that changed my life', 'healthy habits', 'healthy habits that changed my life', 'life changing habits', 'how to change your life', 'healthy habits that will change your life', 'habits', 'changed my life', 'habits to change your life', 'habits of successful people', 'daily habits', ""Matt D'Avella"", 'minimalism', 'habit building', '12 Habits That Changed My Life']",2019-12-24T19:00:05Z,7149200,254869,9515,17分43秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
4,I took cold showers for 30 days,https://i.ytimg.com/vi/MsSBBPeNNDY/default.jpg,674,"['cold showers', 'the flinch', 'habit change', '12 habits for life', 'habits', 'benefits', 'benefits of cold showers', 'lifestyle design', 'fear', 'challenge', 'courage', 'confidence']",2019-03-05T13:00:07Z,6591404,198086,14082,9分55秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
5,I quit social media for 30 days,https://i.ytimg.com/vi/9z8_YhWoq2o/default.jpg,443,"['why i quit social media', 'i quit social media for 30 days', 'quit social media', 'social media', 'social media detox', 'i quit social media', 'social media addiction', 'should i quit social media', 'i quit social media for a month', 'how to quit social media', 'quitting social media', 'deleting social media', 'no social media', 'social media detox challenge', 'quitting social media for 30 days', '30 days without social media']",2018-11-05T14:00:01Z,6289342,291189,12679,8分43秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
6,How to Wake up Before 6am Every Day,https://i.ytimg.com/vi/3kbdGHavGKg/default.jpg,443,"['how to wake up earlier', 'how to wake up early', 'wake up early', 'how to wake up earlier in the morning', 'how to wake up earlier for school', 'how to wake up earlier and not feel tired', 'morning routine', 'morning ritual', 'morning', 'how to', 'wake up', 'sleep', 'better sleep', 'rest', 'simple']",2018-10-29T10:00:00Z,6254497,259124,9972,8分27秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
7,I took cold showers for 30 days. Here's what I learned.,https://i.ytimg.com/vi/NoITOvzX5Kg/default.jpg,690,"[""Matt D'Avella"", 'matt davella', 'self-development', 'creativity', 'health', 'wellness', 'lifestyle design', 'lifestyle', 'advice']",2023-01-23T22:30:02Z,6005457,376782,5444,1分,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
8,I woke up at 5am for 30 days,https://i.ytimg.com/vi/4fsgqnat758/default.jpg,507,"['wake up early', 'wake up', 'morning routine', '5am', 'early', 'rise', 'early riser', 'miracle morning', 'waking up at 5am']",2019-04-09T12:00:01Z,5064033,141867,8728,9分24秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
9,Simple Steps to Financial Freedom,https://i.ytimg.com/vi/ATDYLTnGJV0/default.jpg,963,"['financial freedom', 'financial independence', 'lifestyle', 'lifestyle design', 'minimalism', 'minimalist', 'simple living', 'simplicity', 'money', 'finance', 'finances', 'personal finance', 'simple steps', 'savings', 'retirement fund', 'retirement', '401k', 'security', 'dave ramsey', 'ramit sethi', 'tony robbins', 'matt davella', ""Matt D'Avella""]",2019-01-21T14:00:00Z,4526994,177598,6735,10分39秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
