,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
0,Would You Fly To Paris For A Baguette?,https://i.ytimg.com/vi/se50viFJ0AQ/default.jpg,506,[],2022-12-08T20:12:27Z,1584098115,56604583,116961,48秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
1,Giving iPhones Instead Of Candy on Halloween,https://i.ytimg.com/vi/YlvcFJOE-OE/default.jpg,506,[],2022-11-02T21:00:01Z,1532363455,40217956,137127,40秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
2,"$100,000,000 Car Doors",https://i.ytimg.com/vi/IQxea9UB1nQ/default.jpg,0,[],2023-09-19T17:00:00Z,1133491225,28666005,37433,29秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
3,Katana Vs Bullet,https://i.ytimg.com/vi/L5kIXRdwGAI/default.jpg,0,[],2023-09-07T17:00:01Z,1050707858,37191300,49519,41秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
4,"Guess The Gift, Keep It",https://i.ytimg.com/vi/AZlBZuS4hr0/default.jpg,0,[],2023-10-03T17:00:00Z,858942228,25007841,20618,45秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
5,"$456,000 Squid Game In Real Life!",https://i.ytimg.com/vi/0e3GPea1Tyg/default.jpg,760,[],2021-11-24T21:00:01Z,833259979,19456580,631475,25分42秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
6,Would You Pet a Cheetah in Africa?,https://i.ytimg.com/vi/8kggT2ej-lo/default.jpg,0,[],2023-05-01T20:00:02Z,829470968,27986366,39255,39秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
7,Gordon Ramsay Tries Most Expensive Chocolate Bar!,https://i.ytimg.com/vi/FD-0KG-h2-c/default.jpg,506,[],2022-11-19T20:59:59Z,757351540,29795501,49598,40秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
8,Will A Guitar Boat Hold My Weight?,https://i.ytimg.com/vi/Jo7sfpeWqwE/default.jpg,0,[],2024-09-05T16:00:01Z,739587866,18078798,15253,20秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
9,"Spot The Hidden People For $10,000",https://i.ytimg.com/vi/Gx6VeIIbWwM/default.jpg,0,[],2023-09-28T17:00:01Z,712963175,21577009,29055,35秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
10,How Much Tape To Stop A Lamborghini?,https://i.ytimg.com/vi/pS-fFdvyHLE/default.jpg,0,[],2024-11-08T17:00:00Z,708297297,13765382,19423,15秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
11,The World's Fastest Cleaners,https://i.ytimg.com/vi/CWbV3NItSdY/default.jpg,0,[],2024-04-25T16:00:03Z,677000680,26118136,42662,35秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
12,"The Rock Vs MrBeast For $100,000",https://i.ytimg.com/vi/S_CUEOBZ0P4/default.jpg,530,[],2022-10-21T20:00:06Z,676047966,35708704,76933,55秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
13,I Traded My Car At a Red Light,https://i.ytimg.com/vi/CP82DAKzL1U/default.jpg,0,[],2023-07-15T17:00:01Z,640967478,26165616,39289,47秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
14,"Furthest Away From Me Wins $10,000",https://i.ytimg.com/vi/l9_8_pDTmis/default.jpg,0,[],2023-11-02T17:00:03Z,627394041,21240670,37966,48秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
15,I Sent a Subscriber to Disneyland,https://i.ytimg.com/vi/Y0cBiGUuB1Y/default.jpg,506,[],2023-03-30T20:00:00Z,622794040,29849739,80593,27秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
16,Tipping A Waitress A Car,https://i.ytimg.com/vi/GGBy50KtvRk/default.jpg,506,[],2023-04-22T20:00:00Z,621890467,28177119,62501,38秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
17,I Tipped A Pizza Delivery Driver A Car,https://i.ytimg.com/vi/IemzxkkzI5s/default.jpg,0,[],2023-10-12T17:30:03Z,616001863,25877546,33507,52秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
18,This Game Is Wild...,https://i.ytimg.com/vi/I9mw5UlDyPI/default.jpg,0,[],2024-11-12T17:00:00Z,607309155,13008965,8264,19秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
19,"$10,000 Girl Scout Cookies",https://i.ytimg.com/vi/NPYPXWJBTWM/default.jpg,0,[],2023-03-11T17:00:47Z,590130718,13537637,18242,23秒,22,MrBeast,412000000,2012-02-20T00:43:50Z,883
20,"Spot The Fake Animal For $10,000",https://i.ytimg.com/vi/8bTQMDM4qvY/default.jpg,0,[],2024-07-19T16:00:00Z,570833005,16731171,28466,40秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
21,Slippery vs Sticky Stairs,https://i.ytimg.com/vi/N0pwLtonPdg/default.jpg,0,[],2025-05-16T16:00:01Z,558975638,6542792,19484,36秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
22,Can You Beat A Girl In Arm Wrestling?,https://i.ytimg.com/vi/mKIhHNznt4s/default.jpg,0,[],2023-08-17T17:00:00Z,535614079,20703581,37709,52秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
23,Would you go on a Blind Date in Italy?,https://i.ytimg.com/vi/Y4-gFIfGXiQ/default.jpg,0,[],2023-04-15T20:00:01Z,528884109,23586875,28021,51秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
24,"Last To Leave Circle Wins $500,000",https://i.ytimg.com/vi/zxYjTTXc-J8/default.jpg,653,[],2021-08-31T20:01:03Z,523363428,7708424,127864,17分44秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
25,"Last Person Standing Wins $10,000",https://i.ytimg.com/vi/qtWqHIx8Z-o/default.jpg,0,[],2024-12-22T17:00:01Z,522534363,12164989,8556,48秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
26,How Many Balloons Does It Take To Fly?,https://i.ytimg.com/vi/lkCRPp7cnP8/default.jpg,0,[],2024-07-10T17:00:00Z,522084244,20298187,51309,18秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
27,Do Men Lie About Their Height?,https://i.ytimg.com/vi/lglIQkCHO0g/default.jpg,506,[],2023-02-14T21:00:14Z,518475485,21010071,27973,47秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
28,"Feeding A Dog $1 vs $10,000 Steak",https://i.ytimg.com/vi/ZVt9ZJfWV1c/default.jpg,0,[],2023-12-14T18:00:00Z,508498784,15070015,29737,27秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
29,"Guess The Gift, Keep It",https://i.ytimg.com/vi/XE1Qyss8GIY/default.jpg,0,[],2024-04-09T17:00:00Z,507967841,18742033,23696,46秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
30,Metal Pipe Vs School Bus,https://i.ytimg.com/vi/NTZhwAldqwg/default.jpg,0,[],2023-08-22T17:00:00Z,507707089,13746322,28295,28秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
31,Most Expensive Hand Model Holds Feastables,https://i.ytimg.com/vi/k194wHZHjB0/default.jpg,0,[],2024-02-24T18:00:09Z,497603048,11373124,8684,22秒,22,MrBeast,412000000,2012-02-20T00:43:50Z,883
32,Human vs Jet Engine,https://i.ytimg.com/vi/ZNt_GoOBHq8/default.jpg,0,[],2024-10-17T19:00:00Z,496843133,13108690,16831,19秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
33,"$1 vs $500,000 Plane Ticket!",https://i.ytimg.com/vi/1WEAJ-DFkHE/default.jpg,760,[],2023-04-01T20:00:04Z,495704978,8642483,170462,12分20秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
34,"Find This Stranger, Win $10,000",https://i.ytimg.com/vi/L5ihmu87xTE/default.jpg,0,[],2025-02-19T18:00:00Z,495297447,14667751,10972,1分1秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
35,Bring Me Back Snow From The North Pole,https://i.ytimg.com/vi/DBPYB8WkkDc/default.jpg,34,[],2024-12-10T17:00:00Z,483229458,15944690,12009,55秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
36,Bottle Head Smashing World Record Attempt!,https://i.ytimg.com/vi/f0cXJ6mJxGc/default.jpg,0,[],2024-05-14T16:00:00Z,478763861,12372068,49384,38秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
37,How Many School Buses Can We Stack?,https://i.ytimg.com/vi/19NmWqv4Alk/default.jpg,0,[],2023-09-05T16:59:57Z,476400410,15317149,28316,45秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
38,I Am The World’s Greatest Samurai,https://i.ytimg.com/vi/Dx0Da_Y2fBg/default.jpg,37,[],2020-09-18T13:15:01Z,475962101,14377211,64449,11秒,22,MrBeast,412000000,2012-02-20T00:43:50Z,883
39,"$1 vs $1,000,000,000 Yacht!",https://i.ytimg.com/vi/48h57PspBec/default.jpg,1031,[],2023-06-10T16:00:00Z,475090089,8010542,160196,14分47秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
40,I Buried Treasure in the Bermuda Triangle,https://i.ytimg.com/vi/stUofW3whpE/default.jpg,0,[],2023-07-06T17:00:01Z,474954538,25188823,35402,53秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
41,World’s Most Expensive Bed,https://i.ytimg.com/vi/n7x4Jj9pdH8/default.jpg,0,[],2023-10-31T17:00:01Z,470453418,20674085,35183,48秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
42,I Ate The World’s Most Poisonous Fish,https://i.ytimg.com/vi/O3YVBJ2n5xg/default.jpg,0,[],2023-08-08T17:30:01Z,468601907,21441068,39244,32秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
43,"$1 vs $100,000,000 Car!",https://i.ytimg.com/vi/KrLj6nc516A/default.jpg,1049,[],2023-09-16T16:00:01Z,455883344,7669814,152091,16分28秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
44,I Paid A Random Student’s College Tuition,https://i.ytimg.com/vi/CAOY8EKH1qU/default.jpg,0,[],2023-09-26T16:59:59Z,453175571,24177011,56026,37秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
45,"Last Person Hanging Wins $10,000",https://i.ytimg.com/vi/MFpWEKN9c6Y/default.jpg,0,[],2025-01-21T17:00:03Z,451927569,11784374,12774,43秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
46,"Ages 1 - 100 Fight For $500,000",https://i.ytimg.com/vi/FM7Z-Xq8Drc/default.jpg,1054,[],2023-05-27T21:14:59Z,431250336,6678581,118287,25分36秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
