Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
Pinching FINGERTIP = Perfect Lipstick Color? 😫,https://i.ytimg.com/vi/BnEgEZTkIIc/default.jpg,0,[],2022-11-16T20:31:56Z,62235490,2727458,6163,58秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
trying GLITTER lips that don’t move! 🧐,https://i.ytimg.com/vi/vSigKYGgNNY/default.jpg,0,[],2023-06-22T18:23:23Z,54765821,3068680,8413,59秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
The Power of MAKEUP!,https://i.ytimg.com/vi/a4Ov8qvZ2_w/default.jpg,2420,"['The Power of Makeup', 'the power', 'power', 'makeup', 'power of makeup', 'transformation', 'before and after', 'before', 'after', 'nikkietutorials', 'nikkie tutorials', 'nikki tutorials', 'nikkitutorials', 'how-to', 'tutorial', 'makeup tutorial', 'glamour', 'glam', 'lipstick', 'lipstick tutorial', 'cosmetics', 'look', 'beauty', 'beauty tips', 'DIY', 'bigger eyes', 'nude lips', 'winged eyeliner', 'eyeliner', 'anastasia beverly hills', 'eyeshadow', 'no makeup', 'may 10', 'extreme', 'makeup shaming']",2015-05-10T18:58:07Z,43064081,906648,30113,6分51秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
I'm Coming Out.,https://i.ytimg.com/vi/QOOw2E_qAsE/default.jpg,1014,"[""i'm coming out"", 'coming out', 'nikkietutorials coming out', 'coming', 'out', 'storytime', 'the truth', 'truth', 'lgbt', 'lgbtq', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'coming out story', 'proud', 'free', 'nikkie de jager', 'nikkie coming out']",2020-01-13T18:59:46Z,40490878,3058082,339417,17分14秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
FULL FACE USING ONLY KIDS MAKEUP Challenge | NikkieTutorials,https://i.ytimg.com/vi/6aeE5LXujC4/default.jpg,2049,"['full face using only kids makeup challenge', 'kids makeup only challenge', 'kid makeup', 'kids', 'children', 'kids makeup', 'makeup challenge', 'challenge', 'princess', 'toddler', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'minnie mouse', 'minnie', 'mouse', 'colorful', 'easy', 'fun', 'funny', 'how-to', 'how to apply', 'bb cream', 'foundation', 'eyeliner', 'winged eyeliner', ""claire's"", 'claires', 'false lashes', 'lipstick', 'liquid lipstick', 'glow', 'glowy', 'highlighter', 'tinkerbell', 'lit', 'palette', 'makeup palette', 'cheap', 'affordable', 'look']",2016-07-22T20:15:27Z,35543334,876663,55896,12分48秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
Biggest BROW FAIL of 2022 😵‍💫,https://i.ytimg.com/vi/2XDFv2ZWauk/default.jpg,0,[],2022-12-23T16:04:25Z,34219187,1274525,5869,1分,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
HOW I DID MY MAKEUP IN HIGH SCHOOL Challenge | NikkieTutorials,https://i.ytimg.com/vi/IxxI1X9CSEk/default.jpg,1381,"['how I did my makeup in high school', 'high school makeup', 'high school', 'highschool', 'tag', 'challenge', 'makeup', 'makeup challenge', 'high', 'school', 'tutorial', 'how-to', 'nikkie tutorials', 'nikkietutorials', 'nikkitutorials', 'nikki tutorials', 'bad makeup', 'fail', 'fail makeup', ""do's and don'ts"", 'how to apply', 'foundation', 'eyebrows', 'smokey eyes', 'smokey', 'raccoon eyes', 'nude lips', 'lipstick', 'concealer', 'teen makeup', 'perfect makeup', 'maybelline matte mouse', 'disaster', 'mascara', 'funny', 'eyeshadow', 'style', 'cosmetics', 'beauty', 'look']",2016-09-14T19:59:40Z,24859465,446095,37633,16分39秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
ICE CREAM lipstick?! 🍦👄,https://i.ytimg.com/vi/IF6k0pRUGVM/default.jpg,0,[],2025-01-01T17:03:25Z,23787530,1395369,3374,1分20秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
Where Has This Lip Been ALL MY LIFE? 🤩,https://i.ytimg.com/vi/dnUBFmZojO0/default.jpg,0,[],2022-08-14T16:03:58Z,21486473,1489000,6797,59秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
A Vibrating Foundation Applicator?! 🫣,https://i.ytimg.com/vi/oXVrS4ydBfw/default.jpg,0,[],2022-11-22T19:24:10Z,21143803,1240604,4164,59秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
