,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
0,A REAL Vintage Spy Camera!! #Shorts,https://i.ytimg.com/vi/J4y_j4inlIM/default.jpg,1169,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', '#Shorts', 'Spy Camera', 'Vintage Cameras', 'Hidden Cameras', 'Old Cameras', 'Film Cameras', 'Vintage Spy Camera Tool']",2021-06-25T14:48:23Z,13573689,865249,2378,54秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
1,The most obnoxious way to make hipster coffee #Shorts,https://i.ytimg.com/vi/LdvOBVpgrlI/default.jpg,1221,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', '#shorts', 'YouTube Shorts', 'Coffee Shorts', 'Coffee', 'Siphon Coffee', 'Vacuum Siphon Coffee', 'Belgian Balance Siphon', 'Crazy coffee brewers', 'how to make coffee', 'fancy coffee']",2021-07-07T13:05:18Z,13392506,764817,8778,58秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
2,Filmmaker Reacts to CRAZY HOLLYWOOD CAMERA Techniques!,https://i.ytimg.com/vi/CmGk2Eg8dFs/default.jpg,1805,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', 'Reacting to', 'Reacting', 'Reactions', 'Filmmaker Reacting', 'Peter McKinnon Reacting', 'Filmmakign Techniques', 'Hollywood Filmmaking', 'Hollywood Techniques', 'Behind The Scenes Hollywood Techniques', 'Behind THe Scenes', 'BTS', 'Behind The Scenes Hollywood']",2019-03-13T01:09:48Z,10494090,388156,10559,13分57秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
3,8 Camera HACKS in 90 SECONDS!!,https://i.ytimg.com/vi/5PXCa6RCG28/default.jpg,2408,"['Camera Hacks', 'Cameras', 'Hacks', 'Camera Tips', 'Camera Tricks', 'Photo Tricks', 'Video Tips', 'Video Hacks', 'Photo Hacks', 'Canon', 'Camera How to', 'Photo How To', 'Video How To', 'Filmmaking made cheap', 'budget photo gear', 'photography', 'video', 'cinematography', 'peter mckinnon', 'Photography Hacks', 'Cinematography Hacks', 'Get great looking footage', 'Lens flares', 'special effects for cameras', 'gear', 'Camera equipment', 'Video tricks', 'in the field', 'Pro Shooter', 'Pro Photographer']",2016-12-08T11:00:00Z,8707259,203371,3585,2分2秒,26,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
4,I Paid Photoshop ‘Experts’ to edit this photo better than me,https://i.ytimg.com/vi/OnP-P-FDUJc/default.jpg,1908,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', 'Photoshop Experts', 'Photo manipulation', 'Fiverr', 'Fiverr Editors', 'Bad Photoshop Jobs', 'Horrible Photoshop', 'Photoshop FAILS', 'Editing your photos', 'Peter McKinnon Photo Editing', 'How to edit photos', 'How to add things to photos', 'Shadow Mountain']",2020-02-27T22:51:33Z,7974632,241701,5987,13分16秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
5,Editing YOUR Photos!!,https://i.ytimg.com/vi/gpzjvW6nJu8/default.jpg,1531,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', 'Lightroom', 'Adobe Lightroom', 'photoshop', 'adobe photoshop', 'Lightroom Tutorials', 'Photoshop Tutorials', 'how to use photoshop', 'how to use lightroom', 'Photo editing tutorials', 'PMEDITSMYSHOTS', 'peter mckinnon editing your photos', 'photo editing', 'how to edit better photos']",2019-01-25T03:19:47Z,6975192,212136,6952,26分59秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
6,Actual Elephant Sh*t Coffee... #Shorts,https://i.ytimg.com/vi/N55Xzw-t8zg/default.jpg,1169,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', '#shorts', 'Elephant Shit Coffee', 'Black Tusk Coffee', 'PM Shorts']",2021-07-14T14:16:11Z,6520594,371380,4992,48秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
7,The World's Greatest Invention #Shorts,https://i.ytimg.com/vi/QSk6eVbphmo/default.jpg,1900,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', 'Petes Pirate Life']",2022-08-12T17:51:22Z,6131217,359926,3062,55秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
8,AFTER EFFECTS BASICS,https://i.ytimg.com/vi/QHDhSidFhcQ/default.jpg,1260,"['After Effects', 'Adobe After Effects', 'Adobe', 'VFX', 'Video Effects', 'How to use after effects', 'How to use after effects in videos', 'video fx', 'special fx', 'editing with after effects', 'after effects basics', 'Peter McKinnon', 'Peter McKinnon Tutorial', 'Video Editing Tutorial', 'Cinematography', 'Learn After Effects', 'Videography', 'AE']",2018-07-31T20:16:48Z,6104469,188852,6752,24分16秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
9,10 LIGHTROOM tips you SHOULD KNOW!,https://i.ytimg.com/vi/yQBGDRAYRJs/default.jpg,1285,"['Lightroom', 'Adobe Lightroom', 'Adobe', 'Editing photos', 'how to edit photos', 'tips for edsiting photos', 'photo editing', 'photo editing tips', 'editing tips', 'Peter McKinnon', 'Peter McKinnon Tutorials', 'Tutorials', 'photography', 'Photography Tutorials', 'Photography Software', 'Lightroom Editing TIps', '10 Tips', '10 Lightroom Tips', 'McKinnon', 'How to edit photos in lioghtroom', 'Photographer']",2018-07-10T16:04:49Z,5266746,184279,4050,15分7秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
10,How to make your photos LOOK BETTER FAST! Photoshop Tutorial,https://i.ytimg.com/vi/WGMDXOr4LmI/default.jpg,1805,"['Better photos', 'Photo Editing', 'Photoshop', 'Photoshop Tutorial', 'How to make your photos look better', 'Improve your photos', 'IOmprove your editing', 'Edit with photoshop', 'how to use photoshop', 'how to edit photos', 'make colors pop', 'how to make colors pop', 'adobe photoshop tutorial', 'photography edits', 'how to edit photographs', 'peter mckinnon', 'peter mckinnon photography']",2017-01-23T13:00:03Z,5036441,113474,2942,17分10秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
11,NIGHT PHOTOGRAPHY,https://i.ytimg.com/vi/HPytBIKUD-k/default.jpg,1581,"['Night time', 'Night', 'Night photography', 'Photography', 'How to take photos at night', 'taking photos at night', 'DSLR Tutorial', 'DSLR', 'Peter McKinnon', 'Peter McKinnon Photography', 'Peter McKinnon Tutorials', 'Camera Tutorial', 'Shooting photos at night', 'How to get better images at night', 'Take better photos at night']",2018-01-29T20:38:24Z,4871234,207009,4640,11分26秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
12,Beginner Photography MISTAKES - What to avoid to take better photos,https://i.ytimg.com/vi/PW8tr4j1ZWE/default.jpg,1260,"['Beginner Photographer', 'Photography Beginner', 'Bewginner', 'Amateur PHotographer', 'Beginner Photography mistakes', 'Mistakes to avoid', 'How to be a better photographer', 'take better photos', 'how to take better photos', 'Peter McKinnon', 'McKinnon', 'Peter', 'Peter McKinnon Photography', 'Beginner MIstakes as a photographer']",2018-08-27T16:33:08Z,4722667,198498,3519,8分3秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
13,"$1,000 Camera VS $8,000 Camera!!",https://i.ytimg.com/vi/MPM_0WFWebc/default.jpg,2931,"['Canon 80D', 'Canon 80D Review', '80D Review', 'Canon 1DXMK2', 'Canon 1DXMK2 Review', '1DXMK2', '120fps', 'How to shoot slow mo', 'How to shoot slow motion', 'B-Roll', 'Broll', 'Peter McKinnon', 'Peter McKInnon Tutorials', '. Peter McKinnon VLOG', '80D VS 1DX', 'Camera Comparison', 'Expensive Cameras', '1000 VS 8000', '8000 dollar camera', 'the most expensive camera', 'best canon cameras', 'the best canon cameras', 'What camera should I buy?', 'Best vlogging camera', 'Best cinematic camera', 'photography', 'cinematography']",2017-04-08T15:25:23Z,4712639,81001,4988,10分15秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
14,Take BETTER SHOTS with your iPhone,https://i.ytimg.com/vi/AywNcZL6IQQ/default.jpg,2054,"['iPhone', 'iPhone 7', 'iPhone 7 plus', 'iPhone Camera', 'Ipone Photography', 'Photography with iPhone', 'How to get better with iphone photos', 'Photography help', 'Tutorial', 'Camera tutorial', 'iphone tutorial', 'snapseed', 'instagram', 'lens distortions', 'peter mckinnon', 'photographers', 'no film school', 'How to improve iPhone photos']",2017-01-11T02:40:09Z,4686645,108063,1694,6分57秒,26,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
15,CAMERA BASICS!,https://i.ytimg.com/vi/ixRKeQMa7Nc/default.jpg,1367,"['Learn Cameras', 'Learn photography', 'Camera Basics', 'Photography', 'Peter McKinnon', 'Peter McKinnon Tutorial', 'Two Minute Tuesday', 'Canon', 'Nikon', 'Sony', 'Aperture', 'ISO', 'Shutter Speed', 'What is aperture', 'What is ISO', 'What is shutter Speed', 'How to take better photos', 'The basics of photography', 'How to take photos', 'Learn how to take photos']",2018-04-24T19:32:23Z,4562124,239642,5089,7分14秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
16,5 ways to INSTANTLY make BETTER VIDEOS!,https://i.ytimg.com/vi/vjtt-bMonpc/default.jpg,1124,"['Make better videos', 'how to make better videos', '5 ways to improve my videos', 'improve my videos', 'make better films', 'how to shoot better videos', 'video tutorial', 'peter mckinnon', 'Adobe Premiere Pro', 'Premiere Pro', 'Video Editing', 'Filmmaking', 'Filmmaking How To', 'How to make movies', 'Get better with filmmaking', 'improve your filmmaking']",2017-02-26T21:39:45Z,4178099,120042,3545,11分8秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
17,Sleeping in a -10C hotel made ENTIRELY OF ICE!,https://i.ytimg.com/vi/l8QBw0AurCk/default.jpg,1928,"['Ice Hotel', 'Swedish Ice Hotel', 'Famous Ice Hotel', 'The Ice Hotel', 'Hotel Made of Ice', 'Hotel', 'Ice', 'Sweden', 'ICE HOTEL Vlog', 'Peter McKinnon', 'Peter McKinnon Vlog', 'Matti', 'Travel Feels', 'Nicole Eddy', 'Epidemic Sound', 'Where I find my music', 'Music for my videos', 'Staying in an Ice Hotel', 'Crazy hotel', 'Craziest hotel ever']",2018-02-14T18:14:49Z,4104315,152931,9318,7分42秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
18,5 tips to INSTANTLY up your PHOTO GAME,https://i.ytimg.com/vi/Cb5bjlnDkCs/default.jpg,775,"['photography', 'videography', 'cinematography', 'how to', 'Photo help', 'take better pictures', 'photo tips', 'angles', 'lighting', 'photo shoot', 'peter mckinnon', 'photography tips', 'photography how to', 'photography tutorials', 'how to improve with photography', 'take amazing photos', '5 photo tips', 'canon', 'window light', 'hacks', 'photo hacks', 'photo']",2016-12-23T11:00:23Z,3899893,113528,1558,5分47秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
19,THE BUCKET SHOT,https://i.ytimg.com/vi/r25IWquxe9s/default.jpg,1264,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', 'The Bucket Shot', 'Peter McKinnon Bucket Shot', 'Bucket SHot', 'Bucket Shot Short FIlm', 'The Bucket Shot Short FIlm', 'Peter McKinnon Short FIlm', 'Peter McKinnon Documentary', 'Peter McKinnon Photographer', 'Moraine Lake', 'Banff Documentary', 'Photography Documentary', 'Canon', 'Canon EOS R', 'EOS R', 'Canon R']",2018-12-27T15:00:12Z,3803659,173481,14128,23分18秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
20,Make your photos MOVE and COME TO LIFE! Photoshop Tutorial,https://i.ytimg.com/vi/WmEcxGghzHE/default.jpg,1316,"['2.5D', 'Parallax', '2.5D Parallax', 'Parallax Effect', 'Parallax effect in photoshop', 'how to do the parallax effect', 'Animate a photo', '2.5D in photoshop', 'Adobe', 'Adobe Photoshop', 'Take better photos', 'Photography', 'Animation', 'Peter McKinnon', 'Peter McKinnon Tutorial', 'Parallax in photoshop', 'How to take better photos', 'using the pen tool', 'Pen tool Photoshop', 'How to use the pen tool', 'Timeline in photoshop', 'Cinemagraph', 'Peter McKinnon Cinemagraph']",2017-08-07T17:00:30Z,3651579,95984,2790,12分21秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
21,Why EVERY photographer should be using LIGHTROOM!,https://i.ytimg.com/vi/-X7_SmT1yi4/default.jpg,1448,"['Adobe Lightroom', 'How to use lightroom', 'editing photos in lightroom', 'Lightroom photo edits', 'lightroom tricks', 'lightroom tips', 'how to edit amazing landscapes', 'learn how to edit photos', 'photography', 'become a better photographer', 'photo manipulation', 'Peter McKinnon', 'Peter McKinnon Tutorials', 'Peter McKinnon VLOG', 'HSL tabs in lightroom', 'Masking in lightroom', 'Lightroom hacks', 'How to use adobe lightroom', 'How to take better photos']",2017-06-18T19:43:40Z,3503730,146065,3926,15分41秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
22,Awesome TRANSITIONS to make your videos BETTER!! Premiere Pro Tutorial,https://i.ytimg.com/vi/oF0tfqIx4cc/default.jpg,1805,"['Transitions', 'Zoom Transitions', 'Sam Kolder Transitions', 'Peter McKinnon Transitions', 'Video transitions', 'spin transitions', 'Frame Blocking', 'Masking', 'Mask transition', 'WIpe Transition', 'Premiere Pro Tutorial', 'Premiere Pro Transitions', 'Adobe', 'Video Editing', 'Make better videos', 'how to get better at video', 'How to get better at editing', 'editing transitions', 'peter mckinnon', 'squarespace']",2017-04-13T22:30:08Z,3494744,99672,2416,13分56秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
23,Melting Coffee Cubes #Shorts,https://i.ytimg.com/vi/eCGpGpIu9Bo/default.jpg,1169,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics']",2021-08-20T14:26:38Z,3425047,181563,1503,42秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
24,Make your footage look Cinematic FAST! Premiere Pro Tutorial,https://i.ytimg.com/vi/GYud_W7Ou9E/default.jpg,1030,"['cinematic', 'cinematic footage', 'cinema film look', 'film look', 'premiere pro', 'adobe', 'adobe premiere', 'adobe premiere pro', 'more cinematic', 'how to make my footage look cinematic', 'how to get the film look', 'colour correction', 'color correction', 'color grading', 'how to colour correct', 'how to color correct', 'color correct in premiere', 'color correct in premiere pro', 'cinematic film look tutorial', 'improve my footage', 'hollywood look']",2017-01-03T23:04:51Z,3420721,73400,1741,16分6秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
