,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
0,We got a microchip cat feeder for only Haku,https://i.ytimg.com/vi/Oqtmf5r-PN8/default.jpg,1198,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'cat', 'cats', 'microchip', 'feeder', 'automatic', 'auto', 'food']",2019-11-18T10:52:56Z,7980103,211333,8694,17分49秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
1,Haku falls in love with our AC cleaning man,https://i.ytimg.com/vi/6r3HxQm_MJ4/default.jpg,785,"['cat', 'cats', 'haku', 'love', 'ac', 'air conditioner', 'cleaning', 'cleaner', 'man', 'japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'yt:cc=on']",2018-10-08T11:47:38Z,4019506,106201,4443,7分45秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
2,Japanese Cat Products,https://i.ytimg.com/vi/Ju3qEZDpky0/default.jpg,855,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'cat', 'products', 'kitty', 'scratchboard', 'toys', 'toothbrush', 'haku', 'poki', 'nagi', 'litter']",2017-10-10T12:45:30Z,3499374,84070,4818,13分34秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
3,boss fight,https://i.ytimg.com/vi/19ybEgFGXko/default.jpg,701,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'boss', 'fight', 'cat', 'cats', 'haku', 'poki', 'nagi', 'unicorn', 'mask']",2019-03-05T11:45:50Z,3369172,83231,6758,3分36秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
4,Our cats meet a dog,https://i.ytimg.com/vi/0t1a0Qe5nRQ/default.jpg,732,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'cats', 'doge', 'dog', 'meet', 'cat', 'catnip', 'haku', 'poki', 'nagi']",2019-07-23T09:59:22Z,3199845,85127,3894,17分42秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
5,"Our cats try a ""litter tracking prevention"" litter box",https://i.ytimg.com/vi/1UTfg8-96Zc/default.jpg,986,"['cat', 'cats', 'litter', 'box', 'igloo', 'tracking', 'prevention', 'japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2018-05-08T10:26:58Z,2925466,59345,2913,20分27秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
6,Nagi broke his toof,https://i.ytimg.com/vi/VGimvY3MgGo/default.jpg,1363,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'yt:cc=on', 'toof', 'teeth', 'cat', 'cats', 'surgery', 'dental', 'care', 'canine', 'nagi']",2019-12-15T12:59:03Z,2721861,104541,5791,11分27秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
7,What is Poki?,https://i.ytimg.com/vi/yBANdAzFQJs/default.jpg,1087,"['japan', 'japanese', 'rachel', 'jun', 'cat', 'poki', 'stray', 'siamese', 'daily', 'life', 'vlog', 'kitty', 'cats']",2016-09-06T11:14:28Z,2522762,59604,4023,17分10秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
8,Japan's dog amusement park | WanWan Land!!,https://i.ytimg.com/vi/0NAJ3a-RYTs/default.jpg,1179,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'wanwan land', 'dog', 'dogs', 'park', 'amusement', 'wanwan', 'cat', 'cats', 'doggy', 'doggo']",2017-11-22T09:08:12Z,2174271,61091,4582,16分47秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
9,We got our cats a climbing tower,https://i.ytimg.com/vi/YqHjdr3frYk/default.jpg,735,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'we', 'got', 'our', 'cats', 'climbing', 'tower', 'cat', 'haku', 'poki', 'nagi']",2019-04-01T08:31:29Z,2086995,70198,3721,21分5秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
