,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
0,Giant 6ft Water Balloon - The Slow Mo Guys,https://i.ytimg.com/vi/j_OyHUqIIOU/default.jpg,340,"['slomo', 'slow', 'mo', 'super', 'motion', '1000fps', 'gav', 'dan', 'slowmoguys', 'phantom', 'guys', 'HD', 'flex', 'gavin', 'free', 'massive', 'huge', 'water', 'balloon', 'splash', 'front', 'flip', 'on', 'the', 'rise', 'april', 'outdoors', 'big', 'endslate', 'giant', 'giant balloon', 'most viewed', 'uk']",2011-05-03T21:11:15Z,199523713,1107161,79000,5分23秒,24,The Slow Mo Guys,15100000,2010-08-15T13:51:49Z,361
1,6ft Man in 6ft Giant Water Balloon - 4K - The Slow Mo Guys,https://i.ytimg.com/vi/NMbM-ERy2Lk/default.jpg,539,"['slomo', 'slow', 'mo', 'super', 'motion', 'Slow Motion', '1000', '1000fps', 'gav', 'dan', 'slowmoguys', 'phantom', 'guys', 'HD', 'flex', 'gavin', 'free', 'gavin free', 'high speed camera', 'the slow mo guys', '2000', '2000fps', '5000', '5000fps', '6ft', 'man', 'giant', 'water', 'balloon', 'tidal', 'wave', 'endslate']",2015-07-21T22:01:54Z,84154015,560716,26019,5分21秒,24,The Slow Mo Guys,15100000,2010-08-15T13:51:49Z,361
2,Visualizing Magnetic Fields with Slow Mo #shorts #slowmoguys,https://i.ytimg.com/vi/fgLf_dcZy9Q/default.jpg,4,"['slomo', 'slow', 'mo', 'super', 'motion', 'Slow Motion', '1000', '1000fps', 'gav', 'dan', 'slowmoguys', 'phantom', 'guys', 'HD', 'flex', 'gavin', 'free', 'gavin free', 'high speed camera', 'the slow mo guys', '2000', '2000fps', '5000', '5000fps']",2023-07-08T18:21:34Z,59435851,2038084,9298,54秒,24,The Slow Mo Guys,15100000,2010-08-15T13:51:49Z,361
3,How a TV Works in Slow Motion - The Slow Mo Guys,https://i.ytimg.com/vi/3BJU2drrtCM/default.jpg,738,"['slomo', 'slow', 'mo', 'super', 'motion', 'Slow Motion', '1000', '1000fps', 'gav', 'dan', 'slowmoguys', 'phantom', 'guys', 'HD', 'flex', 'gavin', 'free', 'gavin free', 'high speed camera', 'the slow mo guys', '2000', '2000fps', '5000', '5000fps', 'how', 'tv', 'works', '380000fps']",2018-01-18T14:23:50Z,45256255,1209118,31053,11分39秒,24,The Slow Mo Guys,15100000,2010-08-15T13:51:49Z,361
4,Filming the Speed of Light at 10 Trillion FPS,https://i.ytimg.com/vi/7Ys_yKGNFRQ/default.jpg,86,"['Slo Mo', 'Slow Mo', 'Slomo', 'Slomow', 'Slowmow', 'Planet Slowmo']",2019-03-27T16:00:00Z,41889339,588238,26900,13分6秒,24,The Slow Mo Guys,15100000,2010-08-15T13:51:49Z,361
5,Diving into 1000 Mousetraps in 4K Slow Motion - The Slow Mo Guys,https://i.ytimg.com/vi/ewGAmiLuYCw/default.jpg,365,"['slomo', 'slow', 'mo', 'super', 'motion', 'Slow Motion', '1000', '1000fps', 'gav', 'dan', 'slowmoguys', 'phantom', 'guys', 'HD', 'flex', 'gavin', 'free', 'gavin free', 'high speed camera', 'the slow mo guys', '2000', '2000fps', '5000', '5000fps', 'diving', 'into', '100', 'mousetraps', 'mouse', 'traps', 'Diving into 1000 Mousetraps in 4K Slow Motion']",2017-05-10T14:53:49Z,40852873,606810,29476,6分21秒,24,The Slow Mo Guys,15100000,2010-08-15T13:51:49Z,361
6,"Underwater Bullets at 27,000fps - The Slow Mo Guys",https://i.ytimg.com/vi/OubvTOHWTms/default.jpg,377,"['slomo', 'slow', 'mo', 'super', 'motion', 'Slow Motion', '1000', '1000fps', 'gav', 'dan', 'slowmoguys', 'phantom', 'guys', 'HD', 'flex', 'gavin', 'free', 'gavin free', 'high speed camera', 'the slow mo guys', '2000', '2000fps', '5000', '5000fps', 'v1610', '27450fps', '27000fps', 'bullet', 'under', 'water', 'destin', 'pistol', 'revolver', 'ak47', 'endslate']",2013-07-23T03:23:25Z,38737741,324271,20870,10分18秒,28,The Slow Mo Guys,15100000,2010-08-15T13:51:49Z,361
7,"Cavitation in Bottle at 82,000fps #shorts",https://i.ytimg.com/vi/xM6zdim0yk4/default.jpg,59,"['slomo', 'slow', 'mo', 'super', 'motion', 'Slow Motion', '1000', '1000fps', 'gav', 'dan', 'slowmoguys', 'phantom', 'guys', 'HD', 'flex', 'gavin', 'free', 'gavin free', 'high speed camera', 'the slow mo guys', '2000', '2000fps', '5000', '5000fps', 'cavitation', 'short']",2022-10-11T19:50:22Z,38056809,1900536,8524,38秒,24,The Slow Mo Guys,15100000,2010-08-15T13:51:49Z,361
8,Fastest People in Slow Motion,https://i.ytimg.com/vi/zTspzONOomw/default.jpg,331,"['Super Slow Show', 'Slow Motion', '4K', 'Explosion', 'Slo Mo Guys', 'Tony Hawk', 'Kevin Durant', 'Gav & Dan']",2018-02-28T17:00:07Z,36629528,523946,13643,9分11秒,24,The Slow Mo Guys,15100000,2010-08-15T13:51:49Z,361
9,"Taser Impacts on Bare Skin at 28,000fps - The Slow Mo Guys",https://i.ytimg.com/vi/576HwhU6PMM/default.jpg,517,"['slomo', 'slow', 'mo', 'super', 'motion', 'Slow Motion', '1000', '1000fps', 'gav', 'dan', 'slowmoguys', 'phantom', 'guys', 'HD', 'flex', 'gavin', 'free', 'gavin free', 'high speed camera', 'the slow mo guys', '2000', '2000fps', '5000', '5000fps', 'taser', 'impact', 'bare', 'skin', '28000fps', 'v2511']",2015-09-11T01:37:12Z,34390483,334625,14605,6分16秒,24,The Slow Mo Guys,15100000,2010-08-15T13:51:49Z,361
