,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
0,"Why Are 96,000,000 Black Balls on This Reservoir?",https://i.ytimg.com/vi/uxPdPpi5W4o/default.jpg,1434,"['veritasium', 'black balls', 'balls', 'ball pit', 'shade', 'reservoir', 'black', 'plastic', 'water', 'LA', 'los angeles', 'LA reservoir', 'LADWP', 'bromate', 'bromide', 'water quality', 'algae', 'evaporation', 'water supply', 'chlorine', 'sunlight', 'science', 'physics', 'carcinogen', 'carcinogenic']",2019-05-10T19:59:58Z,106961888,1021065,84657,12分7秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
1,These are the asteroids to worry about,https://i.ytimg.com/vi/4Wrc4fHSCpw/default.jpg,3415,"['veritasium', 'science', 'physics']",2020-11-30T15:17:09Z,79791358,656739,31532,20分6秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
2,I waterproofed myself with aerogel!,https://i.ytimg.com/vi/QAWnEVa9vmw/default.jpg,63,"['veritasium', 'science', 'physics']",2024-02-01T14:58:13Z,61717865,2588694,20403,59秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
3,World's Lightest Solid!,https://i.ytimg.com/vi/AeJ9q45PfD0/default.jpg,1280,"['veritasium', 'aerogel', 'lightest', 'solid', 'lightest solid', 'density', 'silica', 'NASA', 'Stardust', 'invented', 'gel', 'pore', 'nano', 'nanotechnology', 'knudsen effect', ""how it's made"", 'Rayleigh scattering']",2019-05-31T16:40:50Z,61269599,1166683,33981,12分2秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
4,Backspin Basketball Flies Off Dam,https://i.ytimg.com/vi/2OSrvzNW9FE/default.jpg,262,"['veritasium', 'Magnus Effect', 'rotor', 'flettner rotor', 'spinning cylinders', 'cylinder', 'flettner', 'rotor plane', 'rotor ship', 'basketball', 'backspin', 'spin', 'how ridiculous', 'air resistance', 'lift', 'drag', 'spinning', 'flies', 'takes off']",2015-07-15T15:00:01Z,59171182,246710,6363,3分1秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
5,Falling ladders - why does this happen?,https://i.ytimg.com/vi/n8WxkqMRgS4/default.jpg,159,"['veritasium', 'science', 'physics']",2023-01-12T17:24:24Z,48005286,1418329,47543,28秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
6,The Simplest Math Problem No One Can Solve - Collatz Conjecture,https://i.ytimg.com/vi/094y1Z2wpJg/default.jpg,2852,"['veritasium', 'science', 'physics']",2021-07-30T14:16:19Z,43860589,927565,80795,22分9秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
7,"I call this the 'No, You Don't' Law",https://i.ytimg.com/vi/2FLqOI9jw-E/default.jpg,196,"['veritasium', 'science', 'physics', 'electromagnetism', 'magnets', ""lenz's law""]",2024-04-10T17:11:15Z,43004481,1808371,7786,58秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
8,I Waterproofed Myself With Aerogel!,https://i.ytimg.com/vi/GcdB5bFwio4/default.jpg,2484,"['veritasium', 'science', 'physics', 'aerogel', 'waterproof', 'fireproof', 'blowtorch']",2019-06-21T20:59:32Z,40470867,788165,30307,12分22秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
9,The Man Who Accidentally Killed The Most People In History,https://i.ytimg.com/vi/IV3dnLzthDA/default.jpg,4958,"['veritasium', 'science', 'physics']",2022-04-22T15:37:40Z,38982214,900266,45960,24分57秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
10,World's Roundest Object!,https://i.ytimg.com/vi/ZMByI4s-D-Y/default.jpg,1983,"['veritasium', 'science', 'physics', 'Perfect', 'sphere', 'kilogram', 'avogadro', 'avogadro project', 'redefining the kilogram', 'kilo', 'metric system', 'silicon', 'silicon sphere', 'silicon-28', 'silicon 28', 'watt balance', 'bipm', 'history of the kilogram', 'grave', 'units', 'SI units', 'definition', 'gram', 'mass', 'quantity', 'weight', 'weights', 'kilograms', 'csiro', 'kilogram of the archives', 'kilogramme', 'definition of the kilogram', 'unit', 'perfect sphere', 'roundest object', ""world's roundest object"", 'kilogram definition']",2013-03-25T13:01:15Z,38299118,489478,39398,11分44秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
11,How a slinky falls in slow motion #shorts,https://i.ytimg.com/vi/k5s1cMNTmGs/default.jpg,491,"['veritasium', 'science', 'physics']",2021-07-19T20:48:32Z,36390457,1565111,10933,42秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
12,Inside The Navy's Indoor Ocean,https://i.ytimg.com/vi/pir_muTzYM8/default.jpg,2626,"['veritasium', 'science', 'physics']",2022-12-01T14:00:31Z,36183712,396453,7988,20分25秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
13,This Unstoppable Robot Could Save Your Life,https://i.ytimg.com/vi/qevIIQHrJZg/default.jpg,3117,"['veritasium', 'science', 'physics', 'vine robot', 'vine', 'robot']",2021-04-16T14:11:43Z,35276289,393069,21038,14分30秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
14,Why It Was Almost Impossible to Make the Blue LED,https://i.ytimg.com/vi/AF8d72mA41M/default.jpg,4870,"['veritasium', 'science', 'physics', 'leds', 'blue leds', 'nakamura', 'invention', 'discovery', 'almost impossible', 'impossible', 'lighting', 'technology']",2024-02-08T16:12:09Z,34879047,850508,30159,33分45秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
15,Anti-Gravity Wheel?,https://i.ytimg.com/vi/GeyDf4ooPdo/default.jpg,754,"['veritasium', 'science', 'physics', 'anti-gravity', 'wheel', 'angular momentum', 'gyroscopic precession', 'torque', 'force', 'static', 'dynamic', 'lift', 'over head', 'rpm', 'spinning', 'balance', 'weight', 'gravity', 'gyroscope', 'laithwaite', 'heavy', 'precession', 'rotation', 'rotational motion']",2014-03-17T13:30:03Z,34657965,370396,19861,5分42秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
16,How An Infinite Hotel Ran Out Of Room,https://i.ytimg.com/vi/OxGsU8oIWjY/default.jpg,1467,"['veritasium', 'science', 'physics']",2021-05-10T16:02:12Z,32726052,928446,78068,6分7秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
17,Can You Swim in Shade Balls?,https://i.ytimg.com/vi/BZbChKzedEk/default.jpg,1830,"['veritasium', 'science', 'physics', 'shade balls', 'balls', 'black balls', 'reservoir', 'swim', 'swimming', 'los angeles']",2019-06-13T16:42:25Z,32342307,569805,34037,10分42秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
18,Can Silence Actually Drive You Crazy?,https://i.ytimg.com/vi/mXVGIb3bzHI/default.jpg,1360,"['veritasium', 'silence', 'total silence', 'crazy', 'insane', 'anechoic', 'anechoic chamber', 'byu', 'silence make you crazy', 'silence drive you crazy', 'can silence', 'does silence', 'echo', 'dampen', 'sound', 'audio', 'reverb', 'sensory deprivation', 'acoustics', 'wave', 'drive you insane', 'decibels', 'fiberglass wedges']",2014-02-18T14:30:03Z,32306953,571828,48798,10分33秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
19,The real science of black holes,https://i.ytimg.com/vi/ORxKf1FN3ro/default.jpg,91,[],2024-10-16T15:05:39Z,30613037,,16777,58秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
20,Why we put spiders on soccer balls,https://i.ytimg.com/vi/4LYlMqBXTJI/default.jpg,60,"['veritasium', 'science', 'physics', 'biology', 'color', 'jumping spiders', 'soccer', 'football', 'engineering', 'spiders']",2025-04-22T16:41:43Z,29450195,,20908,1分2秒,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
21,Math's Fundamental Flaw,https://i.ytimg.com/vi/HeQX2HjkcNo/default.jpg,3230,"['veritasium', 'science', 'physics']",2021-05-22T14:23:50Z,29253775,748001,49996,34分,27,Veritasium,18300000,2010-07-21T07:18:02Z,444
