,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
0,ABANDONED city in America with NO LAWS | Yes Theory,https://i.ytimg.com/vi/kUTYSyd3LR0/default.jpg,1554,"['slab city', 'abandoned town', 'abandoned city', 'lawless town', 'california lawless', 'city with no laws', 'yes theory', 'yes theory snapchat', 'justin escalona', 'playthegamefilms', 'justin escalona slab city', 'how to escape society', 'yes theory abandoned place', 'slab city vice', 'living without laws', 'places to visit in southern california', 'traveling in california', 'salton sea', 'the accidental sea', 'abandoned town in california', 'visit california', 'salvation mountain', 'gta v sandy shores']",2017-06-08T19:36:31Z,28753111,358716,23951,10分19秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
1,We Fooled the Internet w/ Fake Justin Bieber Burrito Photo,https://i.ytimg.com/vi/Vs6In7UtyXY/default.jpg,1902,"['justin bieber', 'justin bieber (icon)', 'justin bieber burrito', 'justin bieber fake photo', 'justin bieber despacito', 'justin bieber fake story', 'seeking discomfort', 'justin bieber hailey baldwin', 'justin bieber hailey baldwin paparazzi', 'fake news', 'jimmy kimmel viral video', 'nathan for you viral video', 'oobah butler fake restaurant', 'justin bieber burrito sideways', 'fake news story goes viral', 'fake justin bieber', 'justin bieber prank', 'justin bieber lookalike', 'yes theory', 'challenge', 'funny', 'viral']",2018-10-28T17:28:07Z,24095005,1201917,47049,12分25秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
2,BECOMING SUPERHUMAN WITH ICE MAN - Wim Hof,https://i.ytimg.com/vi/8cvhwquPqJ0/default.jpg,3102,"['wim hof', 'wim hof breathing technique', 'wim hof method', 'yes theory', 'frozen alive', 'yes theory wim hof', 'the iceman', 'iceman', 'wim hof vice', 'wif hof technique', 'wim hof speech', 'wim hof advice', 'meditation', 'meditation technique', 'cold baths', 'cold showers', 'why are cold showers good for you', 'why you should take cold showers', '30 days of cold showers', 'ice bath', 'lewis howes wim hof', 'wif hof course', 'wim hof cold shower', 'wim hof science', 'wim hof joe rogan', 'Amazon FBA', 'fba', 'WimYT2']",2019-02-18T18:03:40Z,18754976,626289,38874,42分56秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
3,Traveling to the Least Visited Country in the World,https://i.ytimg.com/vi/ODuEl4oNae0/default.jpg,1824,"['yestheory', 'seek discomfort', 'least visited country in the world', 'drew binsky', 'yes theory travel', 'yes theory spinning the globe', ""what's the least visited country in the world"", 'travel tips', 'remote travel', 'french Polynesia', 'tropic paradise', 'beautiful destinations', 'incredible islands', 'beautiful islands', 'yes theory strangers', 'solo travel', 'how to travel alone', 'south pacific islands', 'smallest country in the world', 'most remote country in the world', 'FBA', 'Amazon FBA', 'Real Estate']",2019-11-10T18:00:50Z,17399951,794627,40979,17分38秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
4,ABANDONED 5-STAR Prison Pablo Escobar Built For Himself (Revealed by Ex-Drug Dealer),https://i.ytimg.com/vi/bXUcnFuvqcE/default.jpg,1478,"['pablo escobar', 'pablo escobar prison', 'narcos', 'medellin', 'colombia', 'colombia touring', 'is medellin safe', 'pablo escobar death', 'pablo escobar tour', 'is colombia safe', 'where does narcos take place', 'la catedral', 'pablo escobar mansion', 'abandoned prison', 'abandoned mansion', 'abandoned colombia', 'pablo escobar son', 'pablo escobar wife', 'pablo escobar narcos', 'narcos song', 'narcos season 4', 'narcos trailer', 'medellin colombia', 'things to do in medellin', 'escobar tour']",2017-11-19T22:15:37Z,14332648,193574,5378,10分14秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
5,I lived in a Luxury Airport for 4 days. Nobody noticed.,https://i.ytimg.com/vi/BYCETjh4eMc/default.jpg,1704,"['yestheory', 'seek discomfort', 'changi singapore airport', 'singapore airport', '#1 airport in the world', '4 days in an airport', 'tom hanks terminal', 'terminal movie', 'what to do in an airport', 'luxury airport', '1st class lounge', '1st class airport', 'best airport in the world', '72 hours in an airport', 'airport security', 'Jewel changi airport', 'first class lounge', 'first class emirates', 'first class airplane ticket', 'sneaking into an airport', 'yes theory strangers', 'yes']",2019-07-01T17:44:23Z,13838252,363926,12618,13分33秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
6,Hunting Nepal’s Mad Honey That Makes You Hallucinate - HONEY HUNTERS,https://i.ytimg.com/vi/bSs0o7DrHeg/default.jpg,3172,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA', 'honey hunters', 'hallucinogenic honey', 'nepalese honey that makes people hallucinate', 'rare honey', 'travel adventure', 'adventure documentary', 'yes theory documentary', 'yes theory wim hof', 'nepal adventure', 'himalayas trip', 'adventure to the himalayas', 'mad honey', 'mad honey hunters']",2022-07-03T17:00:31Z,13552586,333069,13079,39分13秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
7,Asking a Stranger to go on a Date across the World!,https://i.ytimg.com/vi/w0xPJDeTOc8/default.jpg,3310,"['yes theory', 'yes theory snapchat', 'yes guys', 'seek discomfort', 'say yes guys', 'spontaneous trip with a stranger', 'trip across the world', 'trip across the world with a stranger', 'iceland', 'things to do in iceland', 'wow air', 'spontaneous trip', 'yes theory instagram followers control our lives', 'blind date', 'blind date yes theory', 'asking strangers', 'asking strangers to go on a spontaneous roadtrip', 'iceland date', 'iceland activities', 'dating app', 'bumble', 'tinder', 'date ideas', 'how to get a girlfriend']",2018-04-08T16:56:57Z,12657181,286754,12900,10分2秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
8,24hrs in the Highest City on Earth with No Laws (my scariest travel experience),https://i.ytimg.com/vi/mJuTM7TJ9J0/default.jpg,2682,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA']",2024-04-21T16:00:29Z,12419426,161503,5717,29分39秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
9,Sneaking in EVERYWHERE for FREE (Yellow Vest Experiment),https://i.ytimg.com/vi/GyvRamX1VyA/default.jpg,1364,"['sneaking into', 'sneaking in', 'universal studios', 'universal', 'disneyland', 'los angeles zoo', 'zoo', 'amusement park', 'sneaking into amusement park', 'hi vis jacket', 'yes theory', 'exclusive hollywood pool party', 'sneak into', 'nightscape', 'sneaking into movie theatre', 'thor ragnarok', 'prank', 'vlog', 'logan paul', 'universal amusement park', 'happy potter roller coaster', 'sneaking into a museum', 'sneaking into restaurant', 'life hacks for free', 'sneaking in for free', 'social engineering', 'clever prank', 'funny prank']",2017-11-21T21:38:54Z,11659606,331303,12951,9分43秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
